_id,id,Gender,Country,YearOfBirth,Language,Ethnicity,YearsOfExperience,LanguageTest,ApprovalRate
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",76,80
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",98,63
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",45,60
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",65,46
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",59,29
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",97,56
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",59,85
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",92,86
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",84,37
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",62,40
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",37,81
*,*,Female,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",30,82
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",78,35
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",45,59
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",40,77
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",86,62
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",47,38
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",71,30
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",47,92
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",98,65
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",74,54
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",37,92
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",58,42
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",47,52
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",25,60
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",33,84
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",90,76
*,*,Male,"{America, India, OtherC}",*,"{English, Hindi, OtherL}","{African-American, Indian, OtherE, White}","[0, 20[",93,63
